objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation,transcription,destination
PC-001,PC001.pdf,,1 January A happy new year,application/pdf,Harriett Westerman's New Year postcard to her son Frank ,Harriett Westerman,Frank Westerman,12/31/1910,no,postcard; reply cards,text,"Seattle, WA",47.606209,-122.332069,,Franks Group,Northwest Public Broadcasting,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;handwriting,eng,,,
PC-002,PC002.pdf,,"A corner of the patio and corridor, Hotel Agua Caliente, Tijuana",application/pdf,Postcard addressed to Constance Mallridge,,Constance Walfridge,10/27/1930,no,postcard; reply cards,landscape,"Alhambra, CA",34.095287,-118.127014,Good News,Franks Group,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 5, Tapes",good_news_06,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;handwriting,eng,,,
PC-003,PC003.pdf,,Hotel del Monte,application/pdf,RuthAnn's postcard aadressed to Richard J. Healey,RuthAnn,Richard J. Healey,1/9/1909,no,postcard; reply cards,landscape,"Del Monte, CA",36.589443,-121.945198,Good News,Franks Group,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 5, Tapes",good_news_05,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;handwriting,eng,,,
PC-004,PC004.pdf,,Habana: Plaza de la Catedral,application/pdf,R.L. Stidwell's postcard addressed to Ruth Alice Todd,R. L. Stidwell,Ruth Alice Todd,8/1/1945,no,postcard; reply cards,landscape,"Habana, Cuba",23.135719,-82.371483,Good News,Franks Group,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 5, Tapes",good_news_04,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;handwriting,eng,,,
PC-005,PC005.pdf,, shady nook on the agawam river,application/pdf,Erika Arthur's postcard addressed to Frank Halsey,Erika Arthur,Frank Halsey,9/25/1911,no,postcard; reply cards,landscape,"Springfield, MA",42.102051,-72.585762,,Franks Group,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Frank B. Robinson Negatives'",mg101_b6_frank_robinson_negatives_009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;handwriting,eng,,,
PC-006,PC006.pdf,,"Today I am thinking of you and wishing you may be very happy, and every day as it comes I shall be thinking of you and hoping you are happy",application/pdf,Harriett Westerman's response to her Frankls christmas card ,Harriett Westerman,Frank Westerman,9/30/1910,no,postcard; reply cards,text,"Boston, MA",42.360081,-71.058884,,Franks Group,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 26",mg101_b7_f26_107,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;handwriting,eng,,,
PC-007,PC007.pdf,,"Happy New Year - May fair hope brighten years to come, and memory gild the past",application/pdf,Elsie Westerman's response to her lover Frank Westerman's christmaspostcard,Elsie Westermann,Frank Westerman,12/30/1910,no,postcard; reply cards,text,"Seattle, WA",47.606209,-122.332069,,Franks Group,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 13",mg101_b7_f13_007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;handwriting,eng,,,
PC-008,PC008.pdf,,A happy new year,application/pdf,Emma's New Year postcard Elsie Weiffenbach,Emma,Elsie Weiffenbach,12/29/1910,no,postcard; reply cards,text,"Chicago, IL",41.878113,-87.629799,,Franks Group,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_26,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;handwriting,eng,,,
PC-010,PC010.pdf,,"he Bathing Beach at Revere Beach, Mass",application/pdf,Postcard addressed to Clara Chase,,Clara Chase,3/9/1900,no,postcard; reply cards,landscape,"East Saugus, MA",,,,Franks Group,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 13",mg101_b7_f13_028,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;handwriting,eng,,,
PC-011,PC011.pdf,,"Seagulls, Scavengers of Puget Sound",application/pdf,,Hariett Westerman,Frank Westerman,8/19/1910,no,postcard; reply cards,landscape,"Seattle, WA",47.606209,-122.332069,,Franks Group,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Miscellaneous Negatives'",mg101_b6_f7_miscellanious_negatives_012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;handwriting,eng,,,
